城市代码	城市	上级代码	简称	级别	区电话	邮编	拼音
150824	乌拉特中旗	150800	乌拉特中旗	3	0478	015300	Wulatezhongqi	
150825	乌拉特后旗	150800	乌拉特后旗	3	0478	015500	Wulatehouqi	
150826	杭锦后旗	150800	杭锦后旗	3	0478	015400	Hangjinhouqi	
150900	乌兰察布市	150000	乌兰察布	2	0474	012000	Ulanqab	
150902	集宁区	150900	集宁	3	0474	012000	Jining	
150921	卓资县	150900	卓资	3	0474	012300	Zhuozi	
150922	化德县	150900	化德	3	0474	013350	Huade	
150923	商都县	150900	商都	3	0474	013450	Shangdu	
150924	兴和县	150900	兴和	3	0474	013650	Xinghe	
150925	凉城县	150900	凉城	3	0474	013750	Liangcheng	
150926	察哈尔右翼前旗	150900	察右前旗	3	0474	012200	Chayouqianqi	
150927	察哈尔右翼中旗	150900	察右中旗	3	0474	013550	Chayouzhongqi	
150928	察哈尔右翼后旗	150900	察右后旗	3	0474	012400	Chayouhouqi	
150929	四子王旗	150900	四子王旗	3	0474	011800	Siziwangqi	
150981	丰镇市	150900	丰镇	3	0474	012100	Fengzhen	
152200	兴安盟	150000	兴安盟	2	0482	137401	Hinggan	
152201	乌兰浩特市	152200	乌兰浩特	3	0482	137401	Wulanhaote	
152202	阿尔山市	152200	阿尔山	3	0482	137800	Aershan	
152221	科尔沁右翼前旗	152200	科右前旗	3	0482	137423	Keyouqianqi	
